id,title,content,tags,category
1,Cura milagrosa descoberta,Cientista anônimo descobre que água com sal cura tudo.,"saude,urgente",1
2,Banco Central altera taxa,O comitê decidiu elevar a taxa de juros em 0.5%.,"economia,financas",0
3,Extra terrestres em Marte,Fotos vazadas mostram cidades em Marte.,"espaco,vazamento",1
4,Nova lei de trânsito aprovada,A nova regulamentação entra em vigor no próximo mês.,"lei,governo",0
5,Segredo que os médicos escondem,"Coma isto e nunca mais fique doente, diz especialista.","saude,segredo",1
6,Resultados do PIB trimestral,A economia cresceu conforme o esperado pelos analistas.,"economia,pib",0
7,Planta que cura tudo em 24h,Folha de árvore rara elimina qualquer vírus.,"saude,natureza",1
8,Acordo comercial assinado,Líderes de 10 países assinaram o tratado hoje.,"politica,internacional",0
9,Ocultaram a verdade sobre o clima,Documentos secretos provam que o sol é frio.,"clima,conspiracao",1
10,Prefeitura inaugura novo parque,O espaço conta com 50 mil metros quadrados de área verde.,"cidade,lazer",0
